primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
Theeran Adhigaram Ondru,Theeran Adhigaaram Ondru,0,2017,\N,157,Action Crime Thriller
The Candidate,El reino,0,2018,\N,132,Drama Mystery Thriller
Raazi,Raazi,0,2018,\N,138,Action Drama Thriller
On My Skin: The Last Seven Days of Stefano Cucchi,Sulla mia pelle,0,2018,\N,100,Biography Drama
Balloon,Ballon,0,2018,\N,125,Drama History Thriller
If Beale Street Could Talk,If Beale Street Could Talk,0,2018,\N,119,Drama Romance
Once Upon a Time... in Hollywood,Once Upon a Time in... Hollywood,0,2019,\N,161,Comedy Drama
Sir,Sir,0,2018,\N,99,Drama Romance
Onward,Onward,0,2020,\N,102,Adventure Animation Comedy
Along With the Gods: The Two Worlds,Singwa hamkke: Jwiwa beol,0,2017,\N,139,Action Adventure Drama
The Zone of Interest,The Zone of Interest,0,2023,\N,105,Drama History War
The Brawler,Mukkabaaz,0,2017,\N,154,Drama Sport
Ludo,Ludo,0,2020,\N,150,Action Comedy Drama
Jim & Andy: The Great Beyond,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",0,2017,\N,94,Documentary
Pad Man,Pad Man,0,2018,\N,140,Comedy Drama
I Want to Eat Your Pancreas,Kimi no suizô o tabetai,0,2018,\N,109,Animation Drama Family
Blindspotting,Blindspotting,0,2018,\N,95,Comedy Crime Drama
Minnal Murali,Minnal Murali,0,2021,\N,158,Action Comedy Drama
Woman at War,Kona fer í stríð,0,2018,\N,101,Adventure Comedy Drama
Burning,Beoning,0,2018,\N,148,Drama Mystery
Sye Raa Narasimha Reddy,Sye Raa Narasimha Reddy,0,2019,\N,167,Action Adventure Drama
Joker,Joker,0,2019,\N,122,Crime Drama Thriller
The Dawn Wall,The Dawn Wall,0,2017,\N,100,Biography Documentary Sport
Arjun Reddy,Arjun Reddy,0,2017,\N,182,Drama Romance
Butterflies,Kelebekler,0,2018,\N,117,Comedy Drama
Triangle of Sadness,Triangle of Sadness,0,2022,\N,147,Comedy Drama
Maquia: When the Promised Flower Blooms,Sayonara no asa ni yakusoku no hana o kazarô,0,2018,\N,115,Adventure Animation Drama
Leto,Leto,0,2018,\N,126,Biography Drama History
