tconst,genres
tt0029030,Drama
tt0029058,Comedy
tt0029058,Romance
tt0029080,Crime
tt0029080,Drama
tt0029080,Film-Noir
tt0029146,Biography
tt0029146,Drama
tt0029162,Adventure
tt0029162,Drama
tt0029162,Fantasy
tt0029192,Drama
tt0029192,Romance
tt0029217,Crime
tt0029217,Drama
tt0029217,Film-Noir
tt0029222,Drama
tt0029222,Musical
tt0029222,Mystery
tt0029284,Comedy
tt0029284,Romance
tt0029310,Drama
tt0029310,Mystery
tt0029310,Thriller
tt0029314,Drama
tt0029335,Adventure
tt0029335,Comedy
tt0029335,Crime
tt0029440,Adventure
tt0029440,Drama
tt0029440,Family
tt0029442,Adventure
tt0029442,Drama
tt0029442,Romance
tt0029453,Crime
tt0029453,Drama
tt0029453,Romance
tt0029546,Comedy
tt0029546,Musical
tt0029546,Romance
tt0029583,Adventure
tt0029583,Animation
tt0029583,Family
tt0029604,Comedy
tt0029604,Drama
tt0029604,Romance
tt0029606,Drama
tt0029606,Romance
tt0029608,Drama
tt0029608,Romance
tt0029658,Drama
tt0029658,Film-Noir
tt0029658,Mystery
tt0029682,Comedy
tt0029682,Fantasy
tt0029682,Romance
tt0029706,Drama
tt0029747,Comedy
tt0029747,Family
tt0029747,Western
tt0029808,Crime
tt0029808,Drama
tt0029808,Film-Noir
tt0029843,Action
tt0029843,Adventure
tt0029843,Romance
tt0029850,Action
tt0029850,Biography
tt0029850,Drama
tt0029870,Crime
tt0029870,Drama
tt0029870,Film-Noir
tt0029923,Comedy
tt0029923,Family
tt0029923,War
tt0029929,Comedy
tt0029929,Romance
tt0029942,Biography
tt0029942,Drama
tt0029942,Family
tt0029947,Comedy
tt0029957,Crime
tt0029957,Drama
tt0029992,Drama
tt0029992,Family
tt0029992,Fantasy
tt0030044,Drama
tt0030044,War
tt0030127,Comedy
tt0030127,Drama
tt0030241,Comedy
tt0030241,Romance
tt0030252,Comedy
tt0030252,Drama
tt0030252,Romance
tt0030265,Adventure
tt0030265,History
tt0030287,Drama
tt0030287,Romance
tt0030341,Crime
tt0030341,Drama
tt0030341,Mystery
tt0030418,Biography
tt0030418,Drama
tt0030418,History
tt0030442,Comedy
tt0030442,Romance
tt0030522,Documentary
tt0030522,Sport
tt0030523,Documentary
tt0030523,Sport
tt0030637,Comedy
tt0030637,Drama
tt0030637,Romance
tt0030643,Crime
tt0030643,Drama
tt0030643,Romance
tt0030865,Drama
tt0030865,Romance
tt0030944,Comedy
tt0030944,Romance
tt0030993,Comedy
tt0030993,Drama
tt0030993,Romance
tt0031002,Comedy
tt0031002,Drama
tt0031022,Crime
tt0031022,Mystery
tt0031022,Thriller
tt0031047,Comedy
tt0031047,Crime
tt0031047,Mystery
tt0031058,Adventure
tt0031058,Comedy
tt0031058,Crime
tt0031067,Comedy
tt0031067,Romance
tt0031088,Action
tt0031088,Adventure
tt0031088,Drama
tt0031143,Comedy
tt0031143,Horror
tt0031143,Mystery
tt0031147,Action
tt0031147,Crime
tt0031147,Mystery
tt0031210,Drama
tt0031210,Romance
tt0031225,Comedy
tt0031225,Western
tt0031235,Western
tt0031260,Crime
tt0031260,Drama
tt0031260,Film-Noir
tt0031309,Drama
tt0031314,Adventure
tt0031314,Drama
tt0031314,Romance
tt0031334,Adventure
tt0031334,Drama
tt0031334,Romance
tt0031359,Drama
tt0031359,Mystery
tt0031359,Romance
tt0031381,Drama
tt0031381,Romance
tt0031381,War
tt0031385,Drama
tt0031385,Romance
tt0031398,Adventure
tt0031398,Comedy
tt0031398,War
tt0031448,Crime
tt0031448,Mystery
tt0031448,Thriller
tt0031455,Drama
tt0031455,Romance
tt0031514,Crime
tt0031514,Drama
tt0031514,Romance
tt0031580,Comedy
tt0031580,Drama
tt0031580,Family
tt0031593,Comedy
tt0031593,Drama
tt0031593,Romance
tt0031647,Comedy
tt0031647,Romance
tt0031679,Comedy
tt0031679,Drama
tt0031725,Comedy
tt0031725,Romance
tt0031742,Adventure
tt0031742,Drama
tt0031750,Drama
tt0031754,Drama
tt0031754,Family
tt0031754,Fantasy
tt0031762,Adventure
tt0031762,Drama
tt0031762,Romance
tt0031867,Crime
tt0031867,Drama
