tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes
tt0027076,Sazen Tange and the Pot Worth a Million Ryo,Tange Sazen yowa: Hyakuman ryô no tsubo,0,1935,92
tt0027118,An Inn in Tokyo,Tôkyô no yado,0,1935,79
tt0027125,Top Hat,Top Hat,0,1935,101
tt0027214,The Whole Town's Talking,The Whole Town's Talking,0,1935,93
tt0027260,After the Thin Man,After the Thin Man,0,1936,112
tt0027307,Mr. Thank You,Arigatô-san,0,1936,76
tt0027336,The Lower Depths,Les bas-fonds,0,1936,90
tt0027342,They Were Five,La belle équipe,0,1936,100
tt0027440,Charlie Chan at the Opera,Charlie Chan at the Opera,0,1936,68
tt0027474,Craig's Wife,Craig's Wife,0,1936,73
tt0027478,The Crime of Monsieur Lange,Le crime de Monsieur Lange,0,1936,77
tt0027489,César,César,0,1936,168
tt0027515,Desire,Desire,0,1936,95
tt0027532,Dodsworth,Dodsworth,0,1936,101
tt0027552,"Bizarre, Bizarre",Drôle de drame,0,1937,84
tt0027630,Follow the Fleet,Follow the Fleet,0,1936,110
tt0027652,Fury,Fury,0,1936,92
tt0027672,Sisters of the Gion,Gion no shimai,0,1936,95
tt0027752,The Only Son,Hitori musuko,0,1936,82
tt0027884,Libeled Lady,Libeled Lady,0,1936,98
tt0027893,Little Lord Fauntleroy,Little Lord Fauntleroy,0,1936,102
tt0027977,Modern Times,Modern Times,0,1936,87
tt0027996,Mr. Deeds Goes to Town,Mr. Deeds Goes to Town,0,1936,115
tt0028010,My Man Godfrey,My Man Godfrey,0,1936,94
tt0028021,Osaka Elegy,Naniwa erejî,0,1936,90
tt0028070,Our Relations,Our Relations,0,1936,71
tt0028096,The Petrified Forest,The Petrified Forest,0,1936,82
tt0028141,The Prisoner of Shark Island,The Prisoner of Shark Island,0,1936,96
tt0028201,The Story of a Cheat,Le roman d'un tricheur,0,1936,81
tt0028216,San Francisco,San Francisco,0,1936,115
tt0028249,Show Boat,Show Boat,0,1936,113
tt0028313,The Story of Louis Pasteur,The Story of Louis Pasteur,0,1936,86
